ground_id,ground,country,continent,latitude,longitude
1698,"Grainville, St Saviour, Jersey",England,Europe,,
1431,"Bangladesh Krira Shikkha Protisthan Ground, Savar",Bangladesh,Asia,23.989756,90.250816
2759,"Berea Rovers 1, Durban",South Africa,Africa,0.000000,0.000000
2031,"Bangladesh Krira Shikkha Protisthan No 2 Ground, Savar",Bangladesh,Asia,23.988264,90.248077
1324,"Thurlede, Schiedam",Netherlands,Europe,,
270,"Tipton Road, Dudley",England,Europe,,
93,"Hagley Oval, Christchurch",New Zealand,Oceania,-43.534180,172.619293
284,"Nelson Cricket Ground, Hastings",New Zealand,Oceania,,
1736,"Toorak Park, Melbourne",Australia,Oceania,,
2384,"Clare College Ground, Cambridge",England,Europe,,
1323,"Drieburg, Amsterdam",Netherlands,Europe,,
478,"Army Ground, Catterick",England,Europe,,
757,"Manuka Oval, Canberra",Australia,Oceania,-35.317909,149.134583
2712,"Linden Park, Tawa",New Zealand,Oceania,-41.152821,174.832840
2198,"Bayuemas Oval, Kuala Lumpur",Malaysia,Asia,0.000000,0.000000
1511,"Devonshire Park Ground, Weston-super-Mare",England,Europe,,
1154,"Allan Border Field, Brisbane",Australia,Oceania,-27.435133,153.046173
1634,Marlow Cricket Club,England,Europe,,
1074,"LC de Villiers Oval, Pretoria",South Africa,Africa,,
417,"St Kilda Cricket Club Ground, Melbourne",Australia,Oceania,-37.855984,144.980164
2301,"Van der Stel Cricket Club, Stellenbosch",South Africa,Africa,,
699,"Veer Surendra Sai Stadium, Sambalpur",India,Asia,,
1566,"DS Senanayake College Ground, Colombo",Sri Lanka,Asia,,
2686,"Ahmed Ali Didi Stadium, Fuvahmulah",Maldives,Asia,0.000000,0.000000
1228,"Edenside, Carlisle",England,Europe,,
1626,"Honor Oak Cricket Club, Dulwich",England,Europe,,
1143,"Brunton Memorial Ground, Radlett",England,Europe,,
1559,Faridpur Stadium,Bangladesh,Asia,,
808,"Country Golf Club Ground, Faridabad",India,Asia,,
731,"Gandhi Memorial Science College Ground, Jammu",India,Asia,,
204,"The Saffrons, Eastbourne",England,Europe,,
1205,"Morda Road, Oswestry",England,Europe,,
1367,"North West Cricket Stadium, Potchefstroom",South Africa,Africa,-26.695658,27.100817
2575,"HEC International Cricket Stadium Complex, Ranchi",India,Asia,23.310146,85.274750
902,Centurion Park,South Africa,Africa,-25.860279,28.195490
1039,"Riverside Ground, Chester-le-Street",England,Europe,54.849480,-1.560957
743,"Lenasia Stadium, Johannesburg",South Africa,Africa,,
574,"Niaz Stadium, Hyderabad, Sind",Pakistan,Asia,25.382708,68.338036
1631,Dorking Cricket Club,England,Europe,,
840,"Sardar Patel Stadium, Motera, Ahmedabad",India,Asia,23.091478,72.597198
541,"Trafalgar Road Ground, Southport",England,Europe,,
550,"Queen's Park (Old), St George's, Grenada",West Indies,Americas,0.000000,0.000000
658,"Indian Cement Company Ground, Tirunelveli",India,Asia,,
2899,"Johan Volsteedt Cricket Oval, Grey College School, Bloemfontein",South Africa,Africa,0.000000,0.000000
2108,"Westridge, Cape Town",South Africa,Africa,,
830,"North-West University No1 Ground, Potchefstroom",South Africa,Africa,0.000000,0.000000
560,"Sports Stadium, Civil Lines, Meerut",India,Asia,,
2407,"Central Broward Regional Park Stadium Artificial Ground West, Lauderhill",United States of America,Americas,0.000000,0.000000
931,"Buffalo Park, East London",South Africa,Africa,-33.006779,27.919361
708,"Sir Frank Worrell Memorial Ground, St Augustine, Trinidad",West Indies,Americas,,
1541,"Kev Hackney Oval, Buderim",Australia,Oceania,,
1493,Northop Hall Cricket Club Ground,England,Europe,0.000000,0.000000
1249,"Campbell Park, Milton Keynes",England,Europe,,
1992,"The Vineyard, Dublin",Ireland,Europe,,
2642,"Guildford Bason, Merrow Down",England,Europe,0.000000,0.000000
654,"Smallbone Park, Rotorua",New Zealand,Oceania,-38.154480,176.231247
1681,"AO Shirley Recreation Ground, Roadtown, Tortola",West Indies,Americas,,
2267,"MRF Pachyappas Ground, Chennai",India,Asia,,
1018,"United Bank Limited Sports Complex, Karachi",Pakistan,Asia,24.932295,67.084969
2658,"Prince of Wales Ground, Brighton",England,Europe,0.000000,0.000000
393,"Brabourne Stadium, Mumbai",India,Asia,18.932098,72.824913
220,"Nevill Ground, Tunbridge Wells",England,Europe,51.122303,0.268260
1206,"Memorial Ground, Finchampstead",England,Europe,,
1068,"Ruaraka Sports Club Ground, Nairobi",Kenya,Africa,,
2616,"Valburga, Ljubljana",Slovenia,Europe,0.000000,0.000000
67,"GP Codie's Ground, Eccles",England,Europe,,
2913,"Idas Valley Cricket Ground A, Stellenbosch",South Africa,Africa,0.000000,0.000000
416,"P Saravanamuttu Stadium, Colombo",Sri Lanka,Asia,6.919412,79.883888
262,Cardiff Arms Park,England,Europe,,
1965,"Sheikh Zayed Stadium, Abu Dhabi",United Arab Emirates,Asia,24.396555,54.540749
971,"KL Saini Ground, Jaipur",India,Asia,,
1170,"South Melbourne Cricket Ground, Albert Park, Melbourne",Australia,Oceania,0.000000,0.000000
2486,"National Ground, Islamabad",Pakistan,Asia,33.724289,73.058571
1378,"Hagley Park No 2, Christchurch",New Zealand,Oceania,-43.537155,172.622391
381,"Rodney Parade, Newport, Monmouthshire",England,Europe,,
1402,"Great Oakley Cricket Club Ground, Northampton",England,Europe,,
1555,"Tata Energy Research Institute Oval, Gurgaon",India,Asia,,
1131,"Queen's Park (New), St George's, Grenada",West Indies,Americas,12.059683,-61.752132
1931,Chittagong Divisional Stadium,Bangladesh,Asia,22.355932,91.767563
610,"South Eastern Railway Stadium, Visakhapatnam",India,Asia,,
7,"Holt Pound Cricket Ground, Wrecclesham",England,Europe,,
1298,"Roskear, Camborne",England,Europe,,
287,"Castle Park Cricket Ground, Colchester",England,Europe,,
319,Llandudno Cricket Club Ground,England,Europe,,
715,"Ayub National Stadium, Quetta",Pakistan,Asia,30.204082,66.998222
2575,"JSCA International Stadium Complex, Ranchi",India,Asia,23.310146,85.274750
2299,Olton and West Warwickshire Cricket Club Ground,England,Europe,0.000000,0.000000
1066,"Cazaly's Stadium, Cairns",Australia,Oceania,-16.935534,145.749069
1675,"Stanford Cricket Ground, Coolidge, Antigua",West Indies,Americas,,
2377,"Hands Memorial Oval, Bunbury",Australia,Oceania,-33.345966,115.642715
2879,"St Stithians Wayne Joubert, Johannesburg",South Africa,Africa,0.000000,0.000000
2040,"Trelawny Stadium, Jamaica",West Indies,Americas,0.000000,0.000000
1685,"David Phillips North Oval, Sydney",Australia,Oceania,,
1193,"Gorway Ground, Walsall",England,Europe,0.000000,0.000000
1906,"Indian Air Force Ground, Bangalore",India,Asia,,
344,"County Ground, Exeter",England,Europe,,
2254,"Western Railway Ground, Mumbai",India,Asia,,
933,"Air Force Ground, Katunayake",Sri Lanka,Asia,,
667,Harlow Sportcentre,England,Europe,0.000000,0.000000
