format,year,month,rank,country,rating
odi,1981,1,1,England,135
odi,1981,1,2,West Indies,125
odi,1981,1,3,Australia,111
odi,1981,1,4,India,92
odi,1981,1,5,New Zealand,88
odi,1981,1,6,Pakistan,73
odi,1981,2,1,England,135
odi,1981,2,2,West Indies,125
odi,1981,2,3,Australia,113
odi,1981,2,4,New Zealand,101
odi,1981,2,5,India,76
odi,1981,2,6,Pakistan,73
odi,1981,6,1,West Indies,133
odi,1981,6,2,England,129
odi,1981,6,3,Australia,113
odi,1981,6,4,New Zealand,102
odi,1981,6,5,Pakistan,73
odi,1981,6,6,India,72
odi,1981,8,1,West Indies,133
odi,1981,8,2,England,120
odi,1981,8,3,Australia,119
odi,1981,8,4,New Zealand,102
odi,1981,8,5,India,75
odi,1981,8,6,Pakistan,68
odi,1981,11,1,West Indies,134
odi,1981,11,2,England,120
odi,1981,11,3,Australia,119
odi,1981,11,4,New Zealand,102
odi,1981,11,5,India,75
odi,1981,11,6,Pakistan,65
odi,1981,12,1,England,121
odi,1981,12,2,West Indies,118
odi,1981,12,3,Australia,118
odi,1981,12,4,Pakistan,105
odi,1981,12,5,New Zealand,102
odi,1981,12,6,India,74
odi,1982,1,1,West Indies,125
odi,1982,1,2,England,113
odi,1982,1,3,Pakistan,111
odi,1982,1,4,Australia,111
odi,1982,1,5,New Zealand,102
odi,1982,1,6,India,83
odi,1982,2,1,West Indies,131
odi,1982,2,2,Australia,110
odi,1982,2,3,New Zealand,108
odi,1982,2,4,England,106
odi,1982,2,5,Pakistan,101
odi,1982,2,6,India,90
odi,1982,3,1,West Indies,131
odi,1982,3,2,Australia,113
odi,1982,3,3,Pakistan,105
odi,1982,3,4,England,102
odi,1982,3,5,New Zealand,101
odi,1982,3,6,India,90
odi,1982,6,1,West Indies,131
odi,1982,6,2,Australia,113
odi,1982,6,3,England,104
odi,1982,6,4,Pakistan,103
odi,1982,6,5,New Zealand,101
odi,1982,6,6,India,87
odi,1982,7,1,West Indies,131
odi,1982,7,2,Australia,113
odi,1982,7,3,England,109
odi,1982,7,4,New Zealand,101
odi,1982,7,5,Pakistan,100
odi,1982,7,6,India,85
odi,1982,8,1,West Indies,133
odi,1982,8,2,Australia,111
odi,1982,8,3,England,105
odi,1982,8,4,Pakistan,99
odi,1982,8,5,New Zealand,98
odi,1982,8,6,India,86
odi,1982,9,1,West Indies,133
odi,1982,9,2,Australia,111
odi,1982,9,3,England,105
odi,1982,9,4,Pakistan,99
odi,1982,9,5,New Zealand,98
odi,1982,9,6,India,93
odi,1982,10,1,West Indies,133
odi,1982,10,2,Pakistan,108
odi,1982,10,3,Australia,105
odi,1982,10,4,England,105
odi,1982,10,5,India,99
odi,1982,10,6,New Zealand,98
odi,1982,10,7,Sri Lanka,68
odi,1982,12,1,West Indies,133
odi,1982,12,2,Pakistan,111
odi,1982,12,3,Australia,105
odi,1982,12,4,England,105
odi,1982,12,5,New Zealand,98
odi,1982,12,6,India,96
odi,1982,12,7,Sri Lanka,68
odi,1983,1,1,West Indies,133
odi,1983,1,2,Pakistan,109
odi,1983,1,3,Australia,107
odi,1983,1,4,England,105
odi,1983,1,5,India,98
odi,1983,1,6,New Zealand,93
odi,1983,1,7,Sri Lanka,68
odi,1983,2,1,West Indies,133
odi,1983,2,2,Pakistan,111
odi,1983,2,3,New Zealand,110
odi,1983,2,4,Australia,101
odi,1983,2,5,England,99
odi,1983,2,6,India,95
odi,1983,2,7,Sri Lanka,68
odi,1983,3,1,West Indies,133
odi,1983,3,2,Pakistan,111
odi,1983,3,3,New Zealand,108
odi,1983,3,4,Australia,107
odi,1983,3,5,India,95
odi,1983,3,6,England,92
odi,1983,3,7,Sri Lanka,67
odi,1983,4,1,West Indies,129
odi,1983,4,2,Pakistan,111
odi,1983,4,3,New Zealand,110
odi,1983,4,4,Australia,105
odi,1983,4,5,India,99
odi,1983,4,6,England,92
odi,1983,4,7,Sri Lanka,64
odi,1983,6,1,West Indies,129
odi,1983,6,2,Pakistan,111
odi,1983,6,3,New Zealand,108
odi,1983,6,4,Australia,100
odi,1983,6,5,India,99
odi,1983,6,6,England,95
odi,1983,6,7,Sri Lanka,80
odi,1983,8,1,West Indies,122
odi,1983,8,2,India,114
odi,1983,8,3,New Zealand,109
odi,1983,8,4,Pakistan,108
odi,1983,8,5,England,98
odi,1983,8,6,Australia,94
odi,1983,8,7,Sri Lanka,77
odi,1983,9,1,West Indies,122
odi,1983,9,2,India,117
odi,1983,9,3,New Zealand,109
odi,1983,9,4,Pakistan,105
odi,1983,9,5,England,98
odi,1983,9,6,Australia,94
odi,1983,9,7,Sri Lanka,77
odi,1983,10,1,West Indies,122
odi,1983,10,2,India,120
odi,1983,10,3,New Zealand,109
odi,1983,10,4,Pakistan,103
odi,1983,10,5,England,98
odi,1983,10,6,Australia,94
odi,1983,10,7,Sri Lanka,77
odi,1983,11,1,West Indies,130
odi,1983,11,2,India,114
odi,1983,11,3,New Zealand,109
odi,1983,11,4,Pakistan,103
odi,1983,11,5,England,98
odi,1983,11,6,Australia,94
odi,1983,11,7,Sri Lanka,77
odi,1983,12,1,West Indies,132
odi,1983,12,2,India,112
odi,1983,12,3,New Zealand,109
odi,1983,12,4,Pakistan,103
odi,1983,12,5,England,98
odi,1983,12,6,Australia,94
odi,1983,12,7,Sri Lanka,77
odi,1984,1,1,West Indies,137
odi,1984,1,2,India,109
odi,1984,1,3,New Zealand,109
odi,1984,1,4,Pakistan,103
odi,1984,1,5,England,98
odi,1984,1,6,Australia,94
odi,1984,1,7,Sri Lanka,77
odi,1984,2,1,West Indies,137
odi,1984,2,2,India,109
odi,1984,2,3,New Zealand,109
odi,1984,2,4,Australia,101
odi,1984,2,5,England,98
odi,1984,2,6,Pakistan,94
odi,1984,2,7,Sri Lanka,77
odi,1984,3,1,West Indies,134
odi,1984,3,2,India,109
odi,1984,3,3,New Zealand,106
odi,1984,3,4,Australia,103
odi,1984,3,5,England,102
odi,1984,3,6,Pakistan,94
odi,1984,3,7,Sri Lanka,75
odi,1984,4,1,West Indies,132
odi,1984,4,2,India,109
odi,1984,4,3,Australia,105
odi,1984,4,4,New Zealand,104
odi,1984,4,5,England,101
odi,1984,4,6,Pakistan,94
odi,1984,4,7,Sri Lanka,79
odi,1984,5,1,West Indies,134
odi,1984,5,2,India,112
odi,1984,5,3,Australia,104
odi,1984,5,4,New Zealand,104
odi,1984,5,5,England,100
odi,1984,5,6,Pakistan,91
odi,1984,5,7,Sri Lanka,82
odi,1984,6,1,West Indies,131
odi,1984,6,2,India,112
odi,1984,6,3,Australia,104
odi,1984,6,4,New Zealand,104
odi,1984,6,5,England,104
odi,1984,6,6,Pakistan,91
odi,1984,6,7,Sri Lanka,82
odi,1984,8,1,West Indies,133
odi,1984,8,2,India,113
odi,1984,8,3,Australia,105
odi,1984,8,4,England,104
odi,1984,8,5,New Zealand,103
odi,1984,8,6,Pakistan,86
odi,1984,8,7,Sri Lanka,82
odi,1984,9,1,West Indies,133
odi,1984,9,2,India,108
odi,1984,9,3,Australia,108
odi,1984,9,4,England,104
odi,1984,9,5,New Zealand,103
odi,1984,9,6,Pakistan,86
odi,1984,9,7,Sri Lanka,82
odi,1984,10,1,West Indies,133
odi,1984,10,2,Australia,111
odi,1984,10,3,England,104
odi,1984,10,4,India,104
odi,1984,10,5,New Zealand,103
odi,1984,10,6,Pakistan,86
odi,1984,10,7,Sri Lanka,82
odi,1984,11,1,West Indies,133
odi,1984,11,2,Australia,113
odi,1984,11,3,England,104
odi,1984,11,4,New Zealand,98
odi,1984,11,5,India,97
odi,1984,11,6,Pakistan,91
odi,1984,11,7,Sri Lanka,90
odi,1984,12,1,West Indies,133
odi,1984,12,2,Australia,113
odi,1984,12,3,England,104
odi,1984,12,4,New Zealand,97
odi,1984,12,5,India,97
odi,1984,12,6,Pakistan,94
odi,1984,12,7,Sri Lanka,86
odi,1985,1,1,West Indies,134
odi,1985,1,2,Australia,112
odi,1985,1,3,England,110
odi,1985,1,4,Pakistan,97
odi,1985,1,5,New Zealand,94
odi,1985,1,6,India,92
odi,1985,1,7,Sri Lanka,86
odi,1985,2,1,West Indies,140
odi,1985,2,2,England,110
odi,1985,2,3,Australia,108
odi,1985,2,4,New Zealand,99
odi,1985,2,5,Pakistan,92
odi,1985,2,6,India,92
odi,1985,2,7,Sri Lanka,82
odi,1985,3,1,West Indies,139
odi,1985,3,2,Australia,109
odi,1985,3,3,New Zealand,102
odi,1985,3,4,England,101
odi,1985,3,5,India,97
odi,1985,3,6,Pakistan,94
odi,1985,3,7,Sri Lanka,79
odi,1985,4,1,West Indies,138
odi,1985,4,2,India,107
odi,1985,4,3,Australia,107
odi,1985,4,4,New Zealand,98
odi,1985,4,5,Pakistan,96
odi,1985,4,6,England,96
odi,1985,4,7,Sri Lanka,79
odi,1985,5,1,West Indies,138
odi,1985,5,2,Australia,108
odi,1985,5,3,India,107
odi,1985,5,4,New Zealand,97
odi,1985,5,5,Pakistan,96
odi,1985,5,6,England,94
odi,1985,5,7,Sri Lanka,79
odi,1985,6,1,West Indies,138
odi,1985,6,2,Australia,109
odi,1985,6,3,India,107
odi,1985,6,4,New Zealand,97
odi,1985,6,5,Pakistan,96
odi,1985,6,6,England,93
odi,1985,6,7,Sri Lanka,79
odi,1985,8,1,West Indies,141
odi,1985,8,2,Australia,111
odi,1985,8,3,India,105
odi,1985,8,4,Pakistan,95
odi,1985,8,5,England,94
odi,1985,8,6,New Zealand,93
odi,1985,8,7,Sri Lanka,80
odi,1985,9,1,West Indies,141
